1	2026-09-12T10:37:52.803334126+0000	127.0.0.1	51318	127.0.0.1	80	0x0002
2	2026-09-12T10:37:52.803456930+0000	127.0.0.1	80	127.0.0.1	51318	0x0012
3	2026-09-12T10:37:52.803480625+0000	127.0.0.1	51318	127.0.0.1	80	0x0010
4	2026-09-12T10:37:52.815819891+0000	127.0.0.1	51318	127.0.0.1	80	0x0018
5	2026-09-12T10:37:52.816149287+0000	127.0.0.1	80	127.0.0.1	51318	0x0010
6	2026-09-12T10:37:52.821155193+0000	127.0.0.1	80	127.0.0.1	51318	0x0018
7	2026-09-12T10:37:52.821223130+0000	127.0.0.1	51318	127.0.0.1	80	0x0010
8	2026-09-12T10:37:52.827742857+0000	127.0.0.1	51318	127.0.0.1	80	0x0011
9	2026-09-12T10:37:52.829784924+0000	127.0.0.1	80	127.0.0.1	51318	0x0011
10	2026-09-12T10:37:52.829813997+0000	127.0.0.1	51318	127.0.0.1	80	0x0010
