2	1789211882.115124442	127.0.0.1	80	127.0.0.1	9006	0x0012
3	1789211882.115140053	127.0.0.1	9006	127.0.0.1	80	0x0004
5	1789211882.118233189	127.0.0.1	80	127.0.0.1	9356	0x0012
6	1789211882.118286502	127.0.0.1	9356	127.0.0.1	80	0x0004
8	1789211882.120672277	127.0.0.1	80	127.0.0.1	39567	0x0012
9	1789211882.120680869	127.0.0.1	39567	127.0.0.1	80	0x0004
11	1789211882.122709225	127.0.0.1	80	127.0.0.1	47713	0x0012
12	1789211882.122718310	127.0.0.1	47713	127.0.0.1	80	0x0004
