4	2026-09-11T10:28:51.100088387+0000	499	32	447	1	1
6	2026-09-11T10:28:51.105608781+0000	551	32	499	1	448
8	2026-09-11T10:28:51.191912694+0000	538	32	486	448	500
9	2026-09-11T10:28:51.196411522+0000	65535	32	65483	500	934
10	2026-09-11T10:28:51.197350120+0000	65535	32	65483	65983	934
11	2026-09-11T10:28:51.199350770+0000	21167	32	21115	131466	934
12	2026-09-11T10:28:51.199599289+0000	65520	32	65468	500	934
13	2026-09-11T10:28:51.199629186+0000	67	32	15	65968	934
14	2026-09-11T10:28:51.199640530+0000	65520	32	65468	65983	934
15	2026-09-11T10:28:51.199898343+0000	67	32	15	131451	934
